customer_code,customer_name,customer_type,phone,address,area,ward,company,tax_code,dob,last_transaction_date,current_debt,total_sales,status
CUST-0001,An Vũ,Doanh nghiệp,(03) 2181 9600,389 John Số,Hải Phòng,Phường 2,Dương Hoàng Doanh nghiệp tư nhân,0314147112,2007-04-27,2025-08-03 04:24:48,0.0,1005000.0,1
CUST-0002,Vi Lê,Cá nhân,+84-65-423 5116,59 Nguyễn Dãy,Cần Thơ,Phường 25,,,2002-09-04,2025-10-01 19:56:28,0.0,340000.0,1
CUST-0003,Hà Thế Hoàng,Doanh nghiệp,(05)931-0341,647 Lê Tổ,Bình Dương,Phường 15,Phạm và Vũ Công ty Trách nhiệm hữu hạn,0311865901,2009-06-25,2026-07-21 22:51:15,0.0,8682000.0,1
CUST-0004,Khoa Lê,Cá nhân,+84-32-764835,056 Trần Làng,Đà Nẵng,Phường 18,,,2009-01-30,,0.0,0.0,1
CUST-0005,Trung Mai Bảo Bùi,Cá nhân,+84-72-423 8849,6 Phạm Hẻm,Đà Nẵng,Phường 15,,,2002-03-22,2026-07-13 20:46:47,0.0,12163000.0,1
CUST-0006,An Trần,Doanh nghiệp,(02) 6916 6978,0 Jane Tổ,Hà Nội,Phường 1,Vũ Công ty TNHH MTV,0315014745,1996-04-01,2025-10-18 00:40:27,0.0,996000.0,1
CUST-0007,Yến Vũ,Cá nhân,+84-28-148932,880 Dương Đường,Đà Nẵng,Phường 18,,,1995-06-18,2026-06-12 09:49:15,0.0,8060000.0,1
CUST-0008,Khoa Hải Nguyễn,Cá nhân,(09) 1171 8227,89 Phạm Làng,Cần Thơ,Phường 14,,,2005-09-05,2026-07-17 23:18:28,0.0,5317000.0,1
CUST-0009,Hải Phú Dương,Cá nhân,+84-71-331509,3 John Đường,TP. Hồ Chí Minh,Phường 4,,,1997-06-14,2026-07-20 19:46:57,0.0,8123000.0,1
CUST-0010,Ánh Đặng,Doanh nghiệp,+84 83 4738299,763 John Số,Hà Nội,Phường 21,Bùi và Bùi Công ty TNHH MTV,0313583206,2008-03-30,2025-10-11 09:36:10,0.0,2873000.0,1
CUST-0011,Dương Trần,Doanh nghiệp,+84 65 1333872,473 Jane Ngõ,Bình Dương,Phường 10,Mai Tập Đoàn,0319537455,1993-10-23,2026-07-01 09:52:19,0.0,4876000.0,1
CUST-0012,Lâm Lê,Cá nhân,07 7360260,74 Mai Dãy,Hải Phòng,Phường 16,,,1996-03-11,2026-06-17 05:03:52,0.0,4887000.0,1
CUST-0013,Trung Nguyễn,Doanh nghiệp,+84-80-500978,812 John Làng,TP. Hồ Chí Minh,Phường 15,Trần và đối tác Công ty Hợp danh,0313426689,1997-09-29,2026-03-31 13:07:35,0.0,2700000.0,1
CUST-0014,Duyên Trần,Doanh nghiệp,09 9854353,24 Đặng Ngõ,TP. Hồ Chí Minh,Phường 20,Dương Công ty Hợp danh,0319526867,2010-07-14,2026-07-03 19:07:11,0.0,2494000.0,1
CUST-0015,Hà Mai,Cá nhân,(08) 4251 3542,4 Jane Ngõ,Đồng Nai,Phường 3,,,2009-07-09,2026-07-10 09:08:05,0.0,3579000.0,1
CUST-0016,Bà Hà Trần,Cá nhân,+84-82-449 3534,01 Vũ Đường,Đồng Nai,Phường 14,,,1993-08-15,2026-07-23 23:50:59,0.0,2461000.0,1
CUST-0017,Bà Bảo Dương,Cá nhân,+84-68-011280,8 Jane Hẻm,Đồng Nai,Phường 17,,,1994-04-09,2026-05-02 22:04:18,0.0,3712000.0,1
CUST-0018,Hưng Phú Phạm,Cá nhân,+84-31-586 9232,02 Bùi Làng,Đồng Nai,Phường 1,,,1998-02-04,2026-07-11 17:30:27,0.0,6672000.0,1
CUST-0019,Kim Nguyễn,Cá nhân,(07)337-5433,3 Đặng Khu,Bình Dương,Phường 10,,,2008-04-02,2026-07-18 06:33:39,0.0,3154000.0,1
CUST-0020,Quang Mai,Doanh nghiệp,08 5014294,965 Bùi Ngõ,Đồng Nai,Phường 5,Hoàng và đối tác Công ty Cổ phần,0318491822,1997-11-21,2026-02-02 04:17:40,0.0,1717000.0,1
CUST-0021,An Hoàng Đặng,Doanh nghiệp,01 5951484,64 John Số,Đà Nẵng,Phường 11,Lê và đối tác Công ty Hợp danh,0317328534,2003-03-27,2026-03-15 07:41:16,0.0,3962000.0,1
CUST-0022,Phương Văn Vũ,Doanh nghiệp,03 6995 7773,2 Jane Tổ,Đà Nẵng,Phường 7,Phạm Công ty Trách nhiệm hữu hạn,0315006492,1998-11-02,2026-06-02 08:35:22,0.0,2687000.0,1
CUST-0023,Chị Ngọc Nguyễn,Doanh nghiệp,(07) 9176 9367,201 Phạm Hẻm,TP. Hồ Chí Minh,Phường 25,Nguyễn và đối tác Công ty Hợp danh,0317891662,1997-10-18,2026-05-27 18:16:39,0.0,3798000.0,1
CUST-0024,Nhật Lê,Cá nhân,(07)889-5798,7 Jane Dãy,Đà Nẵng,Phường 24,,,1997-12-19,2026-04-23 05:24:01,0.0,420000.0,1
CUST-0025,Bà Vi Mai,Doanh nghiệp,03 4714345,1 John Làng,Bình Dương,Phường 13,Lê và đối tác Công ty Trách nhiệm hữu hạn,0317477326,1997-03-13,2025-12-13 05:53:25,0.0,2991000.0,1
CUST-0026,Kim Tấn Mai,Cá nhân,06 0366909,05 Bùi Số,Hải Phòng,Phường 2,,,2002-09-16,2026-07-18 18:22:20,0.0,6892000.0,1
CUST-0027,Quý cô Mai Vũ,Cá nhân,07 0656272,99 John Số,Cần Thơ,Phường 19,,,1995-11-13,2026-07-02 21:58:23,0.0,8409000.0,1
CUST-0028,Anh Hưng Vũ,Cá nhân,05 3755646,708 Jane Làng,Đồng Nai,Phường 4,,,2004-08-11,2026-03-31 17:45:03,0.0,4669000.0,1
CUST-0029,Vi Nguyễn,Doanh nghiệp,(03) 0923 2719,45 John Hẻm,Hà Nội,Phường 17,Trần và Hoàng Công ty TNHH,0318665981,2009-05-08,2026-05-22 02:26:57,0.0,4437000.0,1
CUST-0030,Kim Hoàng Trần,Cá nhân,+84-31-491905,5 Jane Đường,Bình Dương,Phường 5,,,2008-01-02,2025-12-23 07:20:30,0.0,1001000.0,1
CUST-0031,Ông Huy Đặng,Doanh nghiệp,+84-72-628 4987,94 Phạm Ngõ,Đồng Nai,Phường 21,Dương và Phạm Tập Đoàn,0313589751,2001-06-17,2026-07-22 12:15:33,0.0,7172000.0,1
CUST-0032,Thành Văn Dương,Cá nhân,(05)273-5454,0 John Làng,Hải Phòng,Phường 9,,,2005-10-19,2026-07-09 19:28:28,0.0,1450000.0,1
CUST-0033,Anh Châu Dương,Cá nhân,00 1436349,88 Bùi Tổ,Cần Thơ,Phường 23,,,1999-07-17,2026-03-16 18:26:16,0.0,2317000.0,1
CUST-0034,Bác Khoa Vũ,Doanh nghiệp,(01) 3518 2337,9 Trần Làng,Bình Dương,Phường 3,Phạm và Đặng Công ty Cổ phần,0316512415,1998-09-12,2025-12-05 03:56:11,0.0,9638000.0,1
CUST-0035,Bà An Nguyễn,Doanh nghiệp,+84-42-710947,52 Jane Dãy,Đà Nẵng,Phường 21,Trần Công ty TNHH MTV,0319186400,2001-12-02,2026-06-05 05:08:47,0.0,10191000.0,1
CUST-0036,Lan Lê,Cá nhân,(09)413-1869,6 Dương Khu,Cần Thơ,Phường 3,,,2008-03-07,2026-03-15 12:43:06,0.0,5839000.0,1
CUST-0037,Hạnh Thị Hoàng,Cá nhân,+84-13-341 2328,067 Vũ Đường,Bình Dương,Phường 22,,,1997-06-30,2026-07-06 20:15:10,0.0,10336000.0,1
CUST-0038,Bảo Trần,Cá nhân,+84-34-936 1832,102 Hoàng Khu,TP. Hồ Chí Minh,Phường 24,,,2001-01-09,2026-07-20 06:52:20,0.0,9425000.0,1
CUST-0039,Bác Thành Vũ,Cá nhân,+84-87-719065,139 Jane Đường,Hải Phòng,Phường 4,,,2006-07-14,2026-07-06 13:04:19,0.0,4460000.0,1
CUST-0040,Quý cô Phương Dương,Cá nhân,02 9671 7565,1 Jane Số,Hải Phòng,Phường 6,,,2005-05-09,2026-05-21 17:29:45,0.0,4684000.0,1
CUST-0041,Thành Mai,Cá nhân,+84 71 5451680,03 Hoàng Dãy,Hà Nội,Phường 2,,,2004-03-11,2026-05-23 17:20:51,0.0,976000.0,1
CUST-0042,Mai Vũ,Cá nhân,+84-24-771093,80 Trần Làng,Đồng Nai,Phường 2,,,2010-06-05,,0.0,0.0,1
CUST-0043,Nhật Trần,Cá nhân,+84-27-484 6773,2 Phạm Hẻm,Đà Nẵng,Phường 12,,,2008-03-31,2026-06-30 08:47:32,0.0,3210000.0,1
CUST-0044,Huy Đặng,Doanh nghiệp,(08)404-4997,87 Đặng Số,TP. Hồ Chí Minh,Phường 8,Đặng và đối tác Tập Đoàn,0319911492,1996-10-07,2025-11-06 19:03:08,0.0,697000.0,1
CUST-0045,Quý cô Mai Bùi,Doanh nghiệp,+84 57 6627028,718 Nguyễn Hẻm,Cần Thơ,Phường 22,Lê và đối tác Công ty TNHH,0314020853,2001-07-17,2026-06-25 21:55:55,0.0,4711000.0,1
CUST-0046,Dũng Hoàng,Cá nhân,+84-61-586 5780,431 Trần Ngõ,TP. Hồ Chí Minh,Phường 3,,,2001-02-06,2026-06-20 21:16:45,0.0,6977000.0,1
CUST-0047,Nam Nguyễn,Doanh nghiệp,00 4556 2386,219 Hoàng Làng,Cần Thơ,Phường 22,Hoàng và đối tác Công ty Cổ phần,0315040453,1997-07-04,2026-04-24 13:24:17,0.0,7648000.0,1
CUST-0048,Bảo Vũ,Doanh nghiệp,+84-07-482 1759,6 Dương Khu,Cần Thơ,Phường 5,Bùi Dương Công ty TNHH,0314895475,1997-08-04,2026-07-21 14:12:49,0.0,4549000.0,1
CUST-0049,Nhiên Thế Vũ,Doanh nghiệp,+84 64 0909743,394 John Đường,Bình Dương,Phường 9,Dương và Nguyễn Công ty Hợp danh,0318710313,1999-10-06,2025-08-16 16:27:05,0.0,1911000.0,1
CUST-0050,Cô Hạnh Đặng,Cá nhân,+84-62-328 5884,74 Trần Dãy,Bình Dương,Phường 1,,,2009-12-05,2026-05-21 04:41:28,0.0,11490000.0,1
CUST-0051,Chị Hải Bùi,Doanh nghiệp,(08)516-0481,49 Đặng Ngõ,Đà Nẵng,Phường 22,Dương Nguyễn Công ty Hợp danh,0313650391,2008-08-04,2026-07-17 10:06:13,0.0,2846000.0,1
CUST-0052,Trọng Hải Trần,Cá nhân,+84-74-612 0047,382 Dương Tổ,Hải Phòng,Phường 12,,,2004-12-16,2026-06-24 19:36:37,0.0,3474000.0,1
CUST-0053,Khoa Trí Bùi,Cá nhân,+84-17-964 0537,515 Nguyễn Số,Bình Dương,Phường 14,,,1998-04-01,2026-04-18 23:20:16,0.0,1510000.0,1
CUST-0054,Nhật Trần,Cá nhân,+84-39-005 3293,3 John Tổ,Hải Phòng,Phường 10,,,2006-09-22,2026-07-13 18:05:21,0.0,5061000.0,1
